cefr	lemma	example_de
A1	erlauben	Rauchen
A1	erzählen	Wir müssen
A1	es	Es regnet.
A1	essen	Was gibt || Das Essen
A1	euer	Euer Kurs
A1	fahren	Ich fahre
A1	falsch	Das ist falsch.
A1	fehlen	Herr Müller Was fehlt
A1	Feier-	z. B. Feierabend, Am Montag
A1	feiern	Wir feiern
A1	fernsehen	Wollen wir
A1	fertig	Bist du fertig? Ist mein Auto
A1	finden	Wir müssen
A1	fliegen	Ich fliege
A1	fragen	Er möchte
A1	frei	Ist der Platz
A1	fremd	Das weiß
A1	früher	Früher waren
A1	frühstücken	Am Sonntag
A1	für	Das ist für Das ist der Das ist das
A1	geben	Kannst du Es gibt keine
A1	geboren	Ich bin in
A1	gefallen	Das gefällt
A1	gegen	Fahr nicht Ich bin gegen Wer spielt
A1	gehen	Ich weiß nicht, Wie geht‘s? Jetzt muss Ich muss zum Das geht nicht!
A1	gehören	Wem gehört
A1	gerade	Da kommt
A1	geradeaus	Gehen Sie
A1	gern e	Ich gehe
A1	geschlossen	Die Bank
A1	gestern	Gestern war
A1	gestorben	Meine Frau
A1	gewinnen	Wer gewinnt
A1	geöffnet	Der Laden
A1	glauben	Sie können Ich glaube,
A1	gleich	Das ist mir Das ist der Ich komme
A1	glücklich	Meine Kinder
A1	Grad Celsius	Heute haben
A1	gratulieren	Ich gratuliere
A1	grillen	Heute grillen
A1	groß	Mein Bruder Frankfurt
A1	gut	Das finde Ich komme Guten Morgen! Ein gutes Guten Appetit!
A1	gültig	Der Pass
A1	günstig	Dort gibt
A1	haben	Ich habe
A1	hallo	Hallo Inge!
A1	halten	Dieser Zug
A1	heiraten	Meine Schwester
A1	heißen	Ich heiße Wie heißt
A1	helfen	Können Sie
A1	hell	Im Sommer
A1	herzlich	Herzlichen
A1	heute	Heute ist
A1	hier	Hier ist 06131-553221, Hier wohne
A1	hinten	Die Tür zum
A1	hoch	Der Mount
A1	holen	Ich hole zwei
A1	hören	Hör mal! Ich habe
A1	ich	Ich heiße
A1	ihr/ihm/ihn	Gib ihr/ihm Ruf ihn bitte
A1	immer	Frau Bast
A1	in	Ich wohne Der Zug kommt Frau Rausch Komm, wir
A1	international	Unser Deutschkurs aus Italien,
A1	ja	Sind Sie Herr
A1	jed-	Blumen kannst
A1	jetzt	Jetzt machen
A1	jung	Claudia ist
A1	kaputt	Das Glas war
A1	kaufen	Tim kauft
A1	kein	Es gibt keine
A1	kennen	Kennen Sie
A1	kennenlernen	Wir sind neu
A1	klar	Kommst du
A1	klein	Eltville ist
A1	kochen	Herr Georgi
A1	kommen	Woher kommen Kommst du
A1	kosten	Wie viel kostet
A1	krank	Ich kann heute und liege
A1	Kredit -Karte	Kann ich
A1	kriegen	Ich kriege
A1	kulturell	Ich bin kulturell
A1	kurz	Ricardo hat
A1	können	Ich kann Deutsch Können Sie
A1	lachen	Die Kinder
A1	lang	Die Jeans
A1	lange	Wie lange
A1	langsam	Könnten
A1	laufen	Ich möchte
A1	laut	Nicht so laut!
A1	leben	Sie lebt bei Ihre Eltern || Das Leben
A1	ledig	Sind Sie verheiratet?
A1	legen	Legen Sie
A1	leicht	Der Koffer Deutsch ist
A1	leider	Leider kann
A1	leise	Seid leise.
A1	lernen	Wie lange
A1	lesen	Ich lese ein
A1	letzt-	Morgen ist
A1	lieb-	Liebe Susanne,
A1	lieben	Ich liebe
A1	lieber	Sie fährt
A1	Lieblings-	Mein Lieblingsfilm
A1	liegen	Um neun Frankfurt
A1	links	Gehen Sie
A1	lustig	Frau Mertens
A1	machen	Was machst Ich muss
A1	man	Hier darf
A1	mehr	Dieses Auto
A1	mein	Mein Vater
A1	meist-	Die meisten
A1	mieten	Ich möchte
A1	mit	Trinken Sie
A1	mitbringen	Ich gehe
A1	mitkommen	Ich gehe
A1	mitmachen	Warum macht
A1	mitnehmen	Nehmen
A1	mittel	Lebensmittel
A1	morgen	Morgen beginnt
A1	männlich	Kreuzen Sie
A1	möchten	Was möchten
A1	mögen	Magst du
A1	möglich	Mit dieser
A1	müde	Ich bin müde.
A1	müssen	Ich muss
A1	nach	Ich gehe Ich fliege Es ist schon
A1	nehmen	Heute gibt Ich nehme
A1	nein	Fährst du Zeit.
A1	neu	Ich bin der Wir haben
A1	nicht	Das stimmt Das ist doch
A1	nichts	Das macht Hier kaufe
A1	nie	Er kommt
A1	noch	Vielleicht Wir warten Ich habe
A1	normal	75 kg. Sein
A1	nur	Ich möchte
A1	nächst-	Sehen wir
A1	oben	Ich wohne
A1	oder	Wann können
A1	oft	Petra treffe
A1	ohne	Ohne Geld
A1	pünktlich	Der Bus fährt Herr Müller
A1	Rad fahren	Das Kind
A1	rauchen	Ich rauche
A1	rechts	Die Schillerstraße
A1	regnen	Heute regnet
A1	reisen	Ich reise
A1	reparieren	Er hat das
A1	richtig	Habe ich Das ist richtig.
A1	riechen	Dieser Wein
A1	ruhig	Ich möchte
A1	sagen	Sag mal, wie
A1	Satz	Dieser Satz
A1	scheinen	Die Sonne
A1	schicken	Bitte schicken
A1	schlafen	Ich schlafe
A1	schlecht	Mir ist schlecht! Sie sehen Wir haben
A1	schließen	Bitte, schließen
A1	schmecken	Schmeckt
A1	schnell	Er fährt schnell.
A1	schon	Ist das Essen
A1	schreiben	Er schreibt
A1	schwer	Ist Ihr Gepäck Das ist eine
A1	schwimmen	Ich schwimme
A1	schön	Schönen Das ist sehr
A1	sehen	Ich kann Ich habe
A1	sehr	Danke sehr! Das ist sehr
A1	sein	Herr Müller Mir ist kalt. Ich bin dreiundzwanzig.
A1	seit	Ich wohne
A1	selbstständig	Er ist selbstständig.
A1	sich	Sie müssen
A1	sich anmelden	Wo kann
A1	sich anziehen	Ich muss
A1	sich ausziehen	Zieh die
A1	sich duschen	Ich bade
A1	sich freuen	Ich freue
A1	sich kümmern	Jede Mutter
A1	sich treffen	Ich treffe Wir treffen
A1	sich vorstellen	Wir wollen vorstellen?
A1	sich waschen	Wo kann ich Ich muss morgen
A1	sie	Wie heißt || Wie heißen
A1	sitzen	Wo sitzen
A1	so	Sie müssen Fahren Sie Meine Frau So, das war‘s/wär‘s!
A1	sofort	Bitte antworten
A1	sollen	Soll ich kommen? Was soll
A1	spielen	Die Kinder Spielen Sie
A1	sprechen	Kann ich
A1	spät	Es ist schon
A1	später	Das können
A1	stehen	Ich glaube Der Bus
A1	stellen	Stell die
A1	studieren	Ich studiere
A1	suchen	Suchst du
A1	tanzen	Tanzen Sie
A1	telefonieren	Darf ich mal
A1	teuer	Das ist mir
A1	tot	Sein Vater
A1	trinken	Möchtest
A1	tschüss	Junge Leute „auf Wiedersehen“.
A1	tun	Ich habe Was tut Ihr
A1	um	Er kommt Da kommt
A1	umziehen	Nächsten
A1	und	Peter und
A1	unser-	Das ist unsere
A1	unten	Er wohnt
A1	unter	Unter uns
A1	unterschreiben	Wo muss
A1	verboten	Hier ist Rauchen
A1	verdienen	Ich verdiene
A1	verheiratet	Ich bin verheiratet
A1	verkaufen	Er verkauft
A1	vermieten	Die Wohnung
A1	verstehen	Können Sie
A1	viel	Hier regnet
A1	vielleicht	Ich komme
A1	von	Das Auto Er kommt
A1	vor	Der Termin Das Auto
A1	wandern	Wir wandern
A1	wann	Wann bist Wann kann Wann sind
A1	warten	Können Sie Auf wen warten
A1	warum	Warum kommt
A1	was	Was ist das? Was möchten
A1	was für ein	Was für eine
A1	weg sein	Herr Meier
A1	weh tun	Ich muss zum
A1	weiblich	Kreuzen Sie
A1	weit	Zum Bahnhof
A1	weiter	Der Bus fährt
A1	welch-	Welches Buch
A1	wenig	Ich habe Er verdient
A1	wer	Wer ist das?
A1	werden	Mein Sohn
A1	wichtig	Dieses Formular
A1	wie	Wie heißt Er schreibt Meine Frau Wie soll ich Wie groß Wie bitte? Wie lange
A1	wie viel	Wie viel Milch
A1	wiederholen	Können Sie
A1	willkommen	Herzlich willkommen!
A1	wir	Wir lernen
A1	wissen	Weißt du,
A1	wo	Wo waren Wo ist die Wo sind Sie
A1	woher	Woher kommen
A1	wohin	Wohin fährt Wohin wollen
A1	wohnen	Ich wohne
A1	wollen	Wollen Sie
A1	wunderbar	Das Essen
A1	zahlen	Zahlen, bitte!
A1	zu	Der Bus fährt Ich gehe Ich bin zu
A1	zu sein	Die Tür
A1	zufrieden	Ich bin mit
A1	zum Beispiel/z B	Viele meiner Brüder, arbeiten
A1	zurzeit	Zurzeit habe
A1	zurück	Einmal Frankfurt Wann kommst
A1	zusammen	Sollen wir Das macht
A1	zwischen	Heidelberg Zwischen
A1	öffnen	Ich öffne
A1	über	Gehen Sie Er wohnt Sind Sie über
A1	übernachten	Du kannst
A1	überweisen	Sie können
A2	ab	Ab morgen muss ich wieder arbeiten.
A2	ab fahren	Ich fahre mit dem Auto zur Arbeit. Achtung an Gleis 17! Der Zug München - Paris fährt jetzt ab.
A2	ab fliegen	Ich fliege nicht gern; ich fahre lieber mit dem Zug. Ich fliege in den Ferien nach Spanien. Wann fliegst du ab?
A2	abschließen	Hast du die Tür abgeschlossen?
A2	Achtung Sg	Achtung an Gleis drei: Die Türen schließen. Der Zug fährt jetzt ab. Achtung! Pass auf! Der Verkehr ist hier gefährlich.
A2	aktiv	Peter ist sehr aktiv und macht viel Sport.
A2	aktuell	Das ist das aktuelle Kinoprogramm.
A2	als	Hector ist jünger als seine Schwester. Sie arbeitet als Krankenschwester.
A2	an sein / aus sein	Das Licht ist noch an/schon aus.
A2	an- / aus ziehen	Ich ziehe (mir) eine Jacke an. Er hat sein T-Shirt ausgezogen und ein Hemd angezogen. Die Nachbarn sind am Wochenende ausgezogen.
A2	anders	Anders geht das leider nicht. Oliver ist anders als seine Freunde.
A2	anmelden sich	Wo kann ich mich anmelden?
A2	ansehen	Darf ich eure Urlaubsfotos ansehen? Ich sehe (mir) diese Sendung jeden Tag an.
A2	auf jeden/	Ich möchte auf jeden Fall den neuen James-Bond- Film sehen. - Wirklich? Ich finde James-Bond-Filme langweilig. Ich sehe ihn auf keinen Fall an!
A2	aufmachen	Kannst du bitte die Tür aufmachen?
A2	aufpassen	Pass auf, der Teller fällt gleich auf den Boden! Der Babysitter passt heute Abend auf die Kinder auf.
A2	aufregend	Die letzte Woche war sehr aufregend. Der Film ist nicht besonders aufregend.
A2	aufräumen	Die Kinder müssen ihr Zimmer aufräumen.
A2	aus tauschen	wir bitte die Plätze tauschen? wir unsere Adressen austauschen?
A2	ausgeben	Agata gibt viel Geld für Bücher aus. Ich möchte nicht so viel Geld ausgeben.
A2	ausgehen	Gehen wir am Freitag zusammen aus? Plötzlich ist das Licht ausgegangen.
A2	auspacken	Packst du bitte den Koffer aus?
A2	ausruhen sich	Ruh dich erst mal aus! Du bist sicher müde. Er ruht sich nach der Arbeit immer aus.
A2	außer	Außer Lisa möchte niemand den Film sehen. Wir haben täglich außer Samstag geöffnet.
A2	außerdem	Vier Brötchen, möchten Sie außerdem noch etwas?
A2	außerhalb	Die Wohnung ist nicht in der Stadt, sie liegt etwas außerhalb.
A2	aussprechen	Wie spricht man das Wort aus?
A2	austragen	Er trägt jeden Morgen die Zeitung aus.
A2	backen	Wenn du kommst, backe ich einen Kuchen.
A2	basteln	Die Kinder haben etwas gebastelt.
A2	bauen	Unsere Nachbarn bauen ein neues Haus.
A2	beantworten	Können Sie meine Frage bitte beantworten? Hast du die Mail schon beantwortet?
A2	bedanken sich	Ich möchte mich noch einmal sehr herzlich für Ihre Hilfe bedanken.
A2	beeilen sich	Kannst du dich bitte beeilen? Der Bus fährt gleich ab!
A2	beenden	Du musst deine Ausbildung auf jeden Fall beenden.
A2	begründen	Bitte begründen Sie Ihre Meinung.
A2	beliebt	Fußball ist bei vielen Menschen beliebt.
A2	bequem	Das Sofa ist sehr bequem. Meine Kinder ziehen am liebsten bequeme Schuhe an.
A2	beraten	Unsere Sekretärin berät Sie gern, wenn Sie Fragen haben.
A2	berichten	Alle Zeitungen berichten von dem Unfall.
A2	berühmt	Thomas Müller ist ein berühmter Fußballspieler.
A2	beschreiben	Kannst du mir den Weg zum Bahnhof beschreiben?
A2	beschweren sich	Hier ist es zu laut. Wo können wir uns beschweren? Mein Nachbar beschwert sich immer über unsere Kinder, wenn sie im Garten spielen.
A2	besonders	Dieses Angebot ist besonders günstig. Hier ist die Pizza besonders gut. Wie geht's? - Nicht besonders.
A2	bestehen	Ich habe die Prüfung bestanden! Die Prüfung besteht aus vier Teilen: Hören, Lesen, Schreiben und Sprechen.
A2	bestätigen	Ich kann bestätigen, dass er hier war.
A2	bewerben sich	Ich möchte mich um diese Stelle bewerben. Kannst du mir bei meiner Bewerbung helfen?
A2	bewölkt	Heute ist es bewölkt. Es gibt viele Wolken am Himmel.
A2	blond	Lisa hat blonde Haare.
A2	blöd	Ich finde es blöd, dass du morgen gehen musst.
A2	braten	Braten Sie das Fleisch in etwas Öl! Der Fisch brät in der Pfanne.
A2	buchen	Morgen buche ich unsere Urlaubsreise.
