lemma	vi	en	ipa	example_de
fahren	lái / đi (xe)	to drive / go	[ˈfaːʁən]	Ich fahre mit dem Bus.
lernen	học	to learn	[ˈlɛʁnən]	Wir lernen Deutsch.
arbeiten	làm việc	to work	[ˈʔaʁbaɪ̯tn̩]	Er arbeitet im Büro.
wohnen	sống / ở	to live (reside)	[ˈvoːnən]	Ich wohne in Berlin.
kaufen	mua	to buy	[ˈkaʊ̯fnən]	Ich kaufe Brot.
machen	làm	to do / make	[ˈmaxən]	Was machst du heute?
geben	cho / đưa	to give	[ˈɡeːbn̩]	Gib mir bitte den Schlüssel.
nehmen	lấy	to take	[ˈneːmən]	Ich nehme den ersten Platz.
sehen	nhìn / thấy	to see	[ˈzeːən]	Ich sehe den Film.
hören	nghe	to hear	[ˈhøːʁən]	Ich höre Musik.
lesen	đọc	to read	[ˈleːzn̩]	Sie liest ein Buch.
schreiben	viết	to write	[ˈʃʁaɪ̯bn̩]	Ich schreibe eine E-Mail.
sprechen	nói	to speak	[ˈʃprɛçn̩]	Wir sprechen langsam.
verstehen	hiểu	to understand	[fɛɐ̯ˈʃteːən]	Ich verstehe nicht.
helfen	giúp	to help	[ˈhɛlfnən]	Kannst du mir helfen?
öffnen	mở	to open	[ˈʔœfnən]	Öffne bitte das Fenster.
schließen	đóng	to close	[ˈʃliːsn̩]	Schließ die Tür.
Haus	nhà	house	[haʊ̯s]	Das Haus ist groß.
Wohnung	căn hộ	apartment	[ˈvoːnʊŋ]	Meine Wohnung ist klein.
Zimmer	phòng	room	[ˈʦɪmɐ]	Das Zimmer ist sauber.
Tür	cửa	door	[tyːɐ̯]	Die Tür ist offen.
Fenster	cửa sổ	window	[ˈfɛnstɐ]	Das Fenster ist zu.
Stadt	thành phố	city	[ʃtat]	Berlin ist eine große Stadt.
Land	nước / vùng	country	[lant]	Deutschland ist mein Lieblingsland.
Straße	đường phố	street	[ˈʃtʁaːsə]	Die Straße ist breit.
Auto	ô tô	car	[ˈʔaʊ̯to]	Mein Auto ist blau.
Bus	xe buýt	bus	[bʊs]	Der Bus kommt gleich.
Bahn	tàu / xe lửa	train	[baːn]	Die Bahn fährt pünktlich.
Flughafen	sân bay	airport	[ˈfluːkˌhaːfn̩]	Wir fahren zum Flughafen.
Zeit	thời gian	time	[tsaɪ̯t]	Ich habe keine Zeit.
Uhr	đồng hồ	clock / o’clock	[uːɐ̯]	Es ist drei Uhr.
Tag	ngày	day	[taːk]	Ein Tag hat 24 Stunden.
Woche	tuần	week	[ˈvɔxə]	Nächste Woche habe ich Urlaub.
Monat	tháng	month	[ˈmoːnat]	Im nächsten Monat beginnt der Kurs.
Jahr	năm	year	[jaːɐ̯]	Nächstes Jahr reise ich nach Wien.
Montag	thứ Hai	Monday	[ˈmoːntaːk]	Am Montag habe ich Deutschunterricht.
Dienstag	thứ Ba	Tuesday	[ˈdiːnsˌtaːk]	Dienstag ist mein freier Tag.
Mittwoch	thứ Tư	Wednesday	[ˈmɪtvɔx]	Am Mittwoch regnet es oft.
Donnerstag	thứ Năm	Thursday	[ˈdɔnɐsˌtaːk]	Donnerstag treffen wir uns.
Freitag	thứ Sáu	Friday	[ˈfraɪ̯taːk]	Freitagabend gehe ich ins Kino.
Samstag	thứ Bảy	Saturday	[ˈzamsˌtaːk]	Am Samstag schlafe ich lange.
Sonntag	chủ nhật	Sunday	[ˈzɔntaːk]	Am Sonntag ruhe ich mich aus.
Frühstück	bữa sáng	breakfast	[ˈfʁyːʃtʏk]	Zum Frühstück esse ich Brot.
Mittagessen	bữa trưa	lunch	[ˈmɪtaːkˌʔɛsn̩]	Zum Mittagessen gibt es Suppe.
Abendessen	bữa tối	dinner	[ˈaːbn̩tˌʔɛsn̩]	Wir kochen zusammen Abendessen.
Wasser	nước	water	[ˈvasɐ]	Ich trinke gern Wasser.
Brot	bánh mì	bread	[bʁoːt]	Das Brot ist frisch.
Milch	sữa	milk	[mɪlç]	Ich trinke keine Milch.
Kaffee	cà phê	coffee	[ˈkafe]	Ein Kaffee, bitte.
Tee	trà	tea	[teː]	Schwarzer Tee, bitte.
Freund	bạn / bạn trai	friend	[fʁɔʏ̯nt]	Er ist mein bester Freund.
Familie	gia đình	family	[faˈmiːli̯ə]	Meine Familie wohnt in München.
Kind	trẻ em	child	[kɪnt]	Das Kind spielt im Garten.
Mann	người đàn ông	man	[man]	Der Mann liest Zeitung.
Frau	phụ nữ / bà	woman	[fʁaʊ̯]	Die Frau arbeitet als Ärztin.
